order_id,customer_id,purchase_date,item_category,item_name,quantity,unit_price,total_price,payment_method,customer_type,purchase_channel,promo_discount,promo_code
ORD87926,5755,2024-12-02,Plush,Lobster Plush,1,76.26,76.26,PayPal,One-Time Buyer,In-Person,True,
ORD24946,1217,2024-12-29,Plush,Crab Plush,3,109.44,328.31,Gift Card,Season Passholder,In-Person,True,BLACKFRIDAY
ORD51178,4925,2024-12-23,Gift Cards,$50 Gift Card,7,122.29,856.0,Gift Card,Season Passholder,Online,False,
ORD10743,1578,2025-01-08,Gift Cards,$50 Gift Card,2,18.79,37.58,Credit Card,Season Passholder,Online,False,
ORD93406,8707,2024-11-03,Gift Cards,$100 Gift Card,9,65.46,589.14,PayPal,One-Time Buyer,Online,False,
ORD23547,2939,2024-12-22,Plush,Lobster Plush,3,19.11,57.32,Gift Card,Season Passholder,Online,False,
ORD90505,1295,2024-12-12,Toys,Action Figure,6,42.25,253.5,PayPal,Gift Purchaser,Online,True,HOLIDAY10
ORD65436,9875,2024-12-18,Accessories,Keychain,9,78.34,705.05,Gift Card,Season Passholder,Online,False,
ORD35248,1504,2024-11-03,Gift Cards,$50 Gift Card,2,80.82,161.65,Gift Card,Gift Purchaser,In-Person,False,
ORD64058,9979,2024-11-25,Home Décor,Limited Edition Ornament,4,183.69,734.75,PayPal,One-Time Buyer,In-Person,True,
ORD65697,9184,2024-12-03,Accessories,Keychain,5,24.73,123.65,Gift Card,One-Time Buyer,Online,False,
ORD25165,2465,2024-12-29,Toys,Park Puzzle,7,87.28,610.95,PayPal,Gift Purchaser,Online,False,
ORD81945,4768,2024-11-28,Plush,Lobster Plush,7,123.6,865.23,Gift Card,One-Time Buyer,In-Person,True,
ORD64325,8698,2024-11-30,Home Décor,Limited Edition Ornament,12,36.74,440.85,Gift Card,One-Time Buyer,In-Person,False,
ORD51098,2054,2024-12-16,Home Décor,Park Poster,6,153.17,919.02,Credit Card,Season Passholder,Online,True,HOLIDAY10
ORD94389,8896,2025-01-06,Apparel,Park Hoodie,1,55.01,55.01,PayPal,Gift Purchaser,Online,True,NEWYEAR25
ORD78186,7366,2024-11-23,Apparel,Winter Beanie,7,26.94,188.59,PayPal,One-Time Buyer,In-Person,False,
ORD32230,4176,2024-12-18,Home Décor,Limited Edition Ornament,2,85.82,171.65,Credit Card,One-Time Buyer,Online,True,
ORD79017,4989,2024-12-15,Gift Cards,$25 Gift Card,7,183.43,1283.99,Gift Card,Season Passholder,Online,False,
ORD38637,5002,2024-12-21,Plush,Crab Plush,8,52.39,419.12,PayPal,Gift Purchaser,Online,True,NEWYEAR25
ORD76125,2234,2024-12-24,Toys,Toy Boat,1,25.42,25.42,Credit Card,Season Passholder,In-Person,False,
ORD58213,3862,2024-11-06,Home Décor,Limited Edition Ornament,7,156.75,1097.23,Credit Card,Gift Purchaser,In-Person,True,
ORD18945,8142,2025-01-02,Toys,Park Puzzle,1,74.4,74.4,Credit Card,Season Passholder,Online,False,
ORD51302,9824,2024-11-01,Apparel,Lobster T-Shirt,1,82.82,82.82,PayPal,Season Passholder,Online,False,
ORD92824,7653,2024-11-01,Home Décor,Park Poster,11,72.47,797.21,Credit Card,One-Time Buyer,Online,False,
ORD48658,5316,2024-12-27,Home Décor,Limited Edition Ornament,8,161.76,1294.07,Gift Card,Season Passholder,In-Person,False,
ORD90331,1957,2024-11-16,Apparel,Lobster T-Shirt,14,136.58,1912.14,Credit Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD69114,9664,2025-01-08,Gift Cards,$50 Gift Card,3,14.28,42.84,PayPal,Gift Purchaser,Online,False,
ORD80579,7906,2024-11-04,Apparel,Park Hoodie,9,100.42,903.75,Gift Card,Gift Purchaser,In-Person,False,
ORD37098,1398,2024-12-03,Plush,Lobster Plush,3,59.19,177.57,Credit Card,One-Time Buyer,In-Person,False,
ORD89012,4250,2024-12-13,Gift Cards,$25 Gift Card,9,40.12,361.12,Gift Card,Season Passholder,Online,False,
ORD27840,3824,2024-11-08,Home Décor,Limited Edition Ornament,5,268.9,1344.48,PayPal,Gift Purchaser,Online,True,HOLIDAY10
ORD42380,4877,2024-11-29,Gift Cards,$25 Gift Card,11,105.2,1157.24,PayPal,One-Time Buyer,Online,False,
ORD20299,8448,2024-12-06,Apparel,Park Hoodie,9,38.52,346.68,Credit Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD32273,9474,2024-11-17,Plush,Crab Plush,8,219.28,1754.24,PayPal,Season Passholder,Online,True,HOLIDAY10
ORD71562,1750,2024-11-19,Gift Cards,$25 Gift Card,9,203.39,1830.54,Gift Card,Gift Purchaser,Online,False,
ORD56345,1831,2025-01-08,Toys,Toy Boat,3,82.08,246.23,Credit Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD77180,3185,2024-12-28,Accessories,Pin Set,2,20.37,40.73,Gift Card,Gift Purchaser,Online,True,
ORD49432,9047,2024-11-09,Apparel,Lobster T-Shirt,10,70.62,706.19,Credit Card,Gift Purchaser,Online,True,HOLIDAY10
ORD10321,3342,2024-12-20,Toys,Park Puzzle,2,20.93,41.86,Credit Card,Season Passholder,In-Person,False,
ORD15323,2249,2025-01-04,Accessories,Keychain,0,40.58,0.0,PayPal,One-Time Buyer,Online,False,
ORD78588,9038,2024-12-09,Toys,Park Puzzle,2,40.73,81.46,Gift Card,One-Time Buyer,Online,False,
ORD52763,3728,2024-12-28,Gift Cards,$25 Gift Card,1,69.82,69.82,Credit Card,One-Time Buyer,Online,False,
ORD82650,6609,2024-11-25,Plush,Crab Plush,8,25.35,202.8,PayPal,Season Passholder,In-Person,True,HOLIDAY10
ORD57719,2366,2024-12-06,Toys,Action Figure,8,146.51,1172.08,PayPal,Season Passholder,Online,True,HOLIDAY10
ORD68818,9420,2024-12-24,Accessories,Pin Set,1,95.62,95.62,PayPal,Gift Purchaser,In-Person,False,
ORD74629,5179,2024-11-28,Home Décor,Limited Edition Ornament,8,100.69,805.52,PayPal,Season Passholder,Online,True,HOLIDAY10
ORD89370,1317,2024-12-11,Gift Cards,$100 Gift Card,1,150.41,150.41,Credit Card,One-Time Buyer,In-Person,True,HOLIDAY10
ORD71409,3436,2024-12-16,Toys,Toy Boat,2,113.46,226.93,Gift Card,Gift Purchaser,Online,False,
ORD53820,4859,2024-11-05,Plush,Crab Plush,1,52.0,52.0,Gift Card,Season Passholder,Online,False,
ORD59865,5784,2024-12-29,Toys,Toy Boat,11,93.23,1025.57,PayPal,Season Passholder,Online,True,NEWYEAR25
ORD65894,5893,2024-11-06,Gift Cards,$25 Gift Card,11,32.73,360.03,PayPal,Gift Purchaser,Online,False,
ORD22711,1480,2024-11-17,Home Décor,Limited Edition Ornament,1,19.26,19.26,Gift Card,Season Passholder,Online,False,
ORD55890,1261,2024-12-02,Apparel,Winter Beanie,2,62.55,125.1,PayPal,One-Time Buyer,Online,False,
ORD76005,1922,2024-12-24,Gift Cards,$25 Gift Card,5,126.11,630.53,Credit Card,Season Passholder,Online,False,
ORD88905,6748,2024-11-14,Apparel,Winter Beanie,5,90.52,452.6,PayPal,Season Passholder,Online,False,
ORD56975,2660,2024-12-21,Apparel,Park Hoodie,2,201.16,402.32,Gift Card,Season Passholder,In-Person,False,
ORD83788,9222,2024-11-05,Home Décor,Limited Edition Ornament,1,159.85,159.85,Credit Card,Season Passholder,Online,False,
ORD46927,6755,2024-12-23,Apparel,Park Hoodie,6,115.43,692.59,Gift Card,Season Passholder,Online,True,NEWYEAR25
ORD76780,5494,2024-11-16,Gift Cards,$25 Gift Card,8,206.43,1651.4,Gift Card,One-Time Buyer,Online,True,NEWYEAR25
ORD55382,9062,2024-11-21,Home Décor,Limited Edition Ornament,7,98.22,687.56,Credit Card,Season Passholder,Online,False,
ORD47765,9734,2024-11-12,Apparel,Lobster T-Shirt,4,129.78,519.11,PayPal,Season Passholder,Online,True,NEWYEAR25
ORD79947,9068,2024-12-26,Accessories,Pin Set,7,130.92,916.43,PayPal,Gift Purchaser,Online,False,
ORD99263,4249,2024-12-22,Accessories,Snow Globe,2,48.93,97.86,Gift Card,One-Time Buyer,In-Person,True,NEWYEAR25
ORD40138,3037,2024-12-26,Toys,Action Figure,4,46.55,186.2,PayPal,One-Time Buyer,Online,False,
ORD47552,3483,2024-12-08,Toys,Action Figure,1,48.93,48.93,PayPal,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD62510,7989,2024-12-14,Plush,Lobster Plush,5,105.86,529.3,Credit Card,One-Time Buyer,In-Person,False,
ORD42081,4557,2024-12-04,Plush,Seal Plush,2,74.76,149.52,Credit Card,Season Passholder,In-Person,False,
ORD17223,1292,2024-12-26,Toys,Toy Boat,9,80.25,722.25,Credit Card,Season Passholder,Online,True,
ORD46654,4126,2025-01-01,Accessories,Snow Globe,0,9.02,0.0,Gift Card,Season Passholder,In-Person,False,
ORD16919,7503,2024-11-06,Apparel,Winter Beanie,9,205.73,1851.58,PayPal,Gift Purchaser,Online,False,
ORD46465,4326,2025-01-01,Plush,Crab Plush,2,14.84,29.69,PayPal,Season Passholder,In-Person,True,BLACKFRIDAY
ORD95021,8289,2025-01-07,Toys,Toy Boat,3,18.34,55.01,Gift Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD69768,7732,2024-11-11,Gift Cards,$25 Gift Card,6,26.85,161.1,Credit Card,Season Passholder,Online,True,SINGLES_DAY
ORD49770,4436,2024-11-10,Gift Cards,$50 Gift Card,11,109.64,1206.04,PayPal,Season Passholder,Online,True,HOLIDAY10
ORD16197,9045,2024-11-15,Accessories,Pin Set,5,102.41,512.07,Credit Card,Gift Purchaser,In-Person,True,
ORD98138,1464,2024-11-09,Apparel,Winter Beanie,6,20.18,121.06,PayPal,Season Passholder,In-Person,False,
ORD63572,8640,2024-11-14,Gift Cards,$50 Gift Card,7,230.22,1611.56,Credit Card,Gift Purchaser,In-Person,False,
ORD27354,9737,2024-11-04,Plush,Lobster Plush,4,229.11,916.44,PayPal,Gift Purchaser,Online,False,
ORD65612,8730,2024-12-21,Home Décor,Limited Edition Ornament,1,46.55,46.55,Gift Card,One-Time Buyer,Online,False,
ORD18943,3455,2025-01-05,Accessories,Keychain,2,36.07,72.15,Gift Card,One-Time Buyer,Online,False,
ORD28345,4215,2024-12-12,Gift Cards,$100 Gift Card,9,77.04,693.36,PayPal,Gift Purchaser,In-Person,True,HOLIDAY10
ORD76861,4233,2024-11-27,Plush,Crab Plush,7,167.75,1174.23,PayPal,One-Time Buyer,In-Person,False,
ORD79959,8000,2024-12-08,Home Décor,Park Poster,5,141.1,705.51,Gift Card,One-Time Buyer,Online,True,
ORD68977,2519,2024-12-15,Apparel,Winter Beanie,6,99.89,599.36,PayPal,Season Passholder,Online,True,BLACKFRIDAY
ORD51846,2406,2024-12-08,Accessories,Pin Set,3,105.09,315.27,Gift Card,Season Passholder,Online,False,
ORD97559,3563,2024-12-30,Toys,Toy Boat,9,154.77,1392.9,Gift Card,Season Passholder,Online,False,
ORD48972,2872,2024-12-21,Home Décor,Limited Edition Ornament,1,138.19,138.19,Gift Card,One-Time Buyer,Online,False,
ORD71503,1074,2024-12-06,Accessories,Pin Set,1,19.11,19.11,Gift Card,Season Passholder,Online,False,
ORD46208,7514,2024-12-17,Plush,Lobster Plush,1,158.59,158.59,Credit Card,Season Passholder,Online,False,
ORD79565,8855,2024-11-25,Apparel,Winter Beanie,4,39.19,156.75,PayPal,One-Time Buyer,In-Person,False,
ORD47348,1244,2024-12-29,Gift Cards,$100 Gift Card,4,91.64,366.57,Credit Card,One-Time Buyer,Online,False,
ORD14870,5508,2024-12-19,Home Décor,Park Poster,6,64.29,385.73,PayPal,Season Passholder,In-Person,True,
ORD77007,8783,2024-12-19,Gift Cards,$50 Gift Card,7,137.57,963.0,Credit Card,Season Passholder,Online,False,
ORD70247,8349,2024-12-21,Toys,Action Figure,7,86.72,607.03,Credit Card,Season Passholder,In-Person,False,
ORD79948,6819,2024-11-01,Accessories,Pin Set,4,175.34,701.36,PayPal,One-Time Buyer,Online,False,
ORD95084,9823,2025-01-02,Gift Cards,$25 Gift Card,3,48.1,144.3,Gift Card,One-Time Buyer,Online,False,
ORD84296,5726,2024-12-04,Gift Cards,$25 Gift Card,5,59.64,298.2,PayPal,Gift Purchaser,Online,False,
ORD20139,2137,2025-01-06,Toys,Action Figure,3,60.88,182.63,PayPal,Season Passholder,Online,False,
ORD75007,4720,2024-11-08,Apparel,Winter Beanie,5,48.15,240.74,Credit Card,Season Passholder,Online,False,
ORD60033,8601,2024-11-07,Apparel,Winter Beanie,1,61.63,61.63,Credit Card,Season Passholder,Online,False,
ORD25855,7655,2024-12-30,Apparel,Lobster T-Shirt,1,107.0,107.0,Credit Card,Season Passholder,Online,False,
ORD33871,1672,2024-11-12,Gift Cards,$25 Gift Card,11,110.17,1211.9,PayPal,Season Passholder,In-Person,True,BLACKFRIDAY
ORD24964,1624,2024-11-24,Plush,Crab Plush,7,224.43,1571.04,Credit Card,One-Time Buyer,Online,False,
ORD41636,8961,2025-01-05,Home Décor,Lobster Mug,0,23.3,0.0,Gift Card,One-Time Buyer,Online,False,
ORD28113,5468,2024-12-07,Toys,Park Puzzle,2,136.74,273.47,PayPal,One-Time Buyer,Online,False,
ORD74916,8968,2024-11-25,Accessories,Snow Globe,7,184.89,1294.23,Credit Card,Season Passholder,Online,False,
ORD14270,7649,2024-11-06,Toys,Park Puzzle,7,109.48,766.34,Gift Card,One-Time Buyer,In-Person,False,
ORD52739,9472,2025-01-01,Apparel,Lobster T-Shirt,1,47.35,47.35,Gift Card,Season Passholder,Online,False,
ORD84627,8132,2024-11-29,Home Décor,Park Poster,7,110.21,771.49,Credit Card,One-Time Buyer,In-Person,False,
ORD63963,2459,2024-12-25,Accessories,Snow Globe,9,124.2,1117.76,Credit Card,Season Passholder,Online,True,
ORD59013,4209,2025-01-01,Toys,Toy Boat,2,61.63,123.25,PayPal,One-Time Buyer,Online,False,
ORD30461,3434,2024-11-01,Plush,Lobster Plush,4,74.19,296.75,Credit Card,Season Passholder,In-Person,False,
ORD95732,9553,2024-12-14,Toys,Park Puzzle,2,31.4,62.8,Gift Card,Season Passholder,In-Person,False,
ORD67560,4558,2024-11-17,Apparel,Park Hoodie,2,137.15,274.31,PayPal,Gift Purchaser,In-Person,False,
ORD42239,1552,2025-01-09,Plush,Crab Plush,0,15.78,0.0,Gift Card,One-Time Buyer,Online,False,
ORD79368,5363,2024-12-02,Apparel,Winter Beanie,1,58.7,58.7,PayPal,One-Time Buyer,In-Person,True,HOLIDAY10
ORD60107,3233,2024-11-07,Plush,Seal Plush,4,139.5,558.0,Gift Card,One-Time Buyer,In-Person,True,NEWYEAR25
ORD60675,6768,2024-11-18,Toys,Park Puzzle,1,44.3,44.3,Gift Card,Season Passholder,Online,False,
ORD87613,2664,2024-11-03,Home Décor,Park Poster,3,123.26,369.78,Gift Card,Season Passholder,Online,False,
ORD81093,2615,2024-11-25,Home Décor,Limited Edition Ornament,2,67.9,135.81,Credit Card,One-Time Buyer,Online,True,BLACKFRIDAY
ORD13921,2185,2024-12-04,Accessories,Pin Set,5,25.04,125.21,PayPal,Gift Purchaser,In-Person,False,
ORD91318,7554,2024-11-29,Accessories,Keychain,13,192.84,2506.98,Credit Card,One-Time Buyer,Online,True,HOLIDAY10
ORD26185,5637,2024-11-10,Accessories,Keychain,7,26.96,188.74,Credit Card,Season Passholder,Online,False,
ORD90381,4202,2024-11-30,Apparel,Lobster T-Shirt,13,92.35,1200.52,Credit Card,Gift Purchaser,Online,True,HOLIDAY10
ORD21132,1462,2025-01-07,Gift Cards,$100 Gift Card,1,34.57,34.57,Credit Card,Season Passholder,Online,False,
ORD38127,4367,2025-01-02,Accessories,Pin Set,3,25.55,76.66,Gift Card,Gift Purchaser,Online,False,
ORD28327,2627,2025-01-02,Accessories,Keychain,2,72.47,144.94,Gift Card,Season Passholder,Online,True,NEWYEAR25
ORD72870,5467,2024-11-06,Home Décor,Lobster Mug,2,48.89,97.78,Gift Card,One-Time Buyer,Online,True,NEWYEAR25
ORD48562,5954,2024-12-20,Apparel,Lobster T-Shirt,1,163.93,163.93,Gift Card,Gift Purchaser,Online,True,NEWYEAR25
ORD55718,4229,2025-01-07,Accessories,Keychain,1,15.03,15.03,Credit Card,Season Passholder,Online,False,
ORD62980,9613,2025-01-06,Plush,Crab Plush,3,38.33,114.99,Credit Card,Season Passholder,In-Person,False,
ORD34820,9977,2024-12-08,Toys,Toy Boat,2,39.28,78.55,PayPal,Gift Purchaser,Online,False,
ORD57226,4564,2024-12-10,Home Décor,Limited Edition Ornament,10,138.95,1389.46,Gift Card,Season Passholder,In-Person,False,
ORD78725,6002,2024-12-03,Accessories,Pin Set,8,150.95,1207.6,Gift Card,Season Passholder,Online,True,HOLIDAY10
ORD33496,5805,2024-12-12,Gift Cards,$100 Gift Card,4,74.21,296.82,Gift Card,Gift Purchaser,In-Person,False,
ORD32738,3327,2024-12-01,Apparel,Lobster T-Shirt,4,90.19,360.75,PayPal,Gift Purchaser,Online,False,
ORD41510,9046,2024-11-12,Apparel,Park Hoodie,5,50.07,250.37,Gift Card,Season Passholder,Online,False,
ORD13007,9168,2025-01-09,Toys,Park Puzzle,1,54.11,54.11,Gift Card,Gift Purchaser,Online,False,
ORD94238,9305,2025-01-07,Toys,Toy Boat,3,23.3,69.89,Credit Card,One-Time Buyer,Online,False,
ORD46216,1789,2024-12-20,Accessories,Pin Set,8,147.65,1181.21,Gift Card,Season Passholder,In-Person,True,NEWYEAR25
ORD98500,5422,2024-12-03,Accessories,Pin Set,5,160.5,802.5,PayPal,Season Passholder,Online,False,
ORD27723,2712,2024-11-04,Plush,Seal Plush,10,98.47,984.7,Gift Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD16640,7773,2024-12-17,Accessories,Snow Globe,4,52.37,209.47,Gift Card,Gift Purchaser,Online,False,
ORD27193,3726,2024-11-21,Home Décor,Park Poster,8,30.26,242.12,Gift Card,Season Passholder,In-Person,False,
ORD72091,7789,2024-12-08,Apparel,Park Hoodie,4,106.19,424.76,Credit Card,One-Time Buyer,Online,False,
ORD14203,6060,2024-11-27,Gift Cards,$50 Gift Card,2,63.68,127.36,Credit Card,One-Time Buyer,In-Person,False,
ORD28148,4082,2025-01-10,Toys,Toy Boat,3,46.6,139.79,PayPal,One-Time Buyer,In-Person,False,
ORD56269,3317,2025-01-10,Plush,Crab Plush,3,81.2,243.61,Credit Card,Season Passholder,Online,True,BLACKFRIDAY
ORD81921,6431,2024-11-02,Toys,Toy Boat,1,156.0,156.0,Credit Card,Season Passholder,Online,False,
ORD54734,3657,2024-12-08,Toys,Toy Boat,1,47.81,47.81,PayPal,Gift Purchaser,In-Person,False,
ORD58056,3452,2024-12-11,Plush,Lobster Plush,5,42.18,210.92,Credit Card,One-Time Buyer,Online,False,
ORD84944,2797,2024-11-02,Plush,Lobster Plush,1,165.63,165.63,PayPal,Season Passholder,Online,False,
ORD42431,8069,2025-01-05,Accessories,Pin Set,1,48.02,48.02,PayPal,Gift Purchaser,Online,True,HOLIDAY10
ORD29459,2489,2024-12-31,Toys,Action Figure,1,28.66,28.66,Credit Card,Season Passholder,Online,False,
ORD49340,3738,2024-11-08,Apparel,Lobster T-Shirt,9,165.99,1493.89,Gift Card,Gift Purchaser,Online,False,
ORD20270,8945,2024-11-04,Accessories,Snow Globe,4,24.62,98.47,Gift Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD68232,5769,2024-11-12,Gift Cards,$25 Gift Card,2,108.95,217.91,Gift Card,Season Passholder,In-Person,False,
ORD51628,1769,2024-11-08,Home Décor,Park Poster,9,123.26,1109.34,Gift Card,Season Passholder,Online,False,
ORD21812,6346,2024-12-07,Plush,Seal Plush,4,53.82,215.29,PayPal,One-Time Buyer,Online,False,
ORD55312,9751,2024-11-07,Gift Cards,$25 Gift Card,11,93.51,1028.66,PayPal,One-Time Buyer,Online,False,
ORD91321,7611,2024-11-20,Gift Cards,$50 Gift Card,2,146.95,293.9,Credit Card,One-Time Buyer,In-Person,False,
ORD42250,7157,2025-01-05,Apparel,Lobster T-Shirt,1,50.35,50.35,PayPal,Season Passholder,Online,False,
ORD37989,8305,2024-11-21,Plush,Seal Plush,3,32.74,98.22,PayPal,Season Passholder,Online,False,
ORD35135,1709,2024-12-07,Home Décor,Limited Edition Ornament,9,95.54,859.82,PayPal,Season Passholder,Online,False,
ORD49018,8734,2024-11-02,Accessories,Keychain,5,165.62,828.1,Credit Card,Season Passholder,In-Person,True,HOLIDAY10
ORD18726,7789,2024-12-10,Gift Cards,$25 Gift Card,4,27.64,110.55,Gift Card,One-Time Buyer,Online,False,
ORD95635,4646,2024-11-01,Home Décor,Park Poster,8,22.38,179.0,Credit Card,Season Passholder,Online,True,HOLIDAY10
ORD71500,1588,2024-12-17,Home Décor,Lobster Mug,1,89.57,89.57,Gift Card,Gift Purchaser,Online,True,BLACKFRIDAY
ORD75076,4963,2024-11-02,Plush,Seal Plush,9,55.85,502.67,PayPal,Season Passholder,Online,False,
ORD48732,6889,2024-12-29,Home Décor,Lobster Mug,1,87.28,87.28,PayPal,One-Time Buyer,Online,False,
ORD36709,4618,2024-12-13,Accessories,Snow Globe,1,85.82,85.82,Credit Card,Gift Purchaser,Online,False,
ORD91103,4101,2024-12-20,Gift Cards,$50 Gift Card,9,77.1,693.9,PayPal,Season Passholder,In-Person,True,NEWYEAR25
ORD68402,9724,2024-11-08,Apparel,Park Hoodie,2,48.37,96.75,Credit Card,One-Time Buyer,In-Person,True,BLACKFRIDAY
ORD73387,7872,2025-01-04,Apparel,Winter Beanie,2,40.65,81.31,PayPal,Season Passholder,In-Person,False,
ORD44446,4042,2024-12-16,Gift Cards,$25 Gift Card,1,40.73,40.73,Gift Card,One-Time Buyer,Online,False,
ORD31855,5378,2025-01-01,Gift Cards,$50 Gift Card,2,76.1,152.19,PayPal,Season Passholder,In-Person,False,
ORD80241,6138,2024-11-13,Plush,Lobster Plush,7,58.19,407.3,Credit Card,Season Passholder,In-Person,False,
ORD53995,5492,2024-11-04,Accessories,Pin Set,4,212.75,850.98,Credit Card,One-Time Buyer,Online,False,
ORD49857,4385,2024-12-24,Plush,Lobster Plush,1,127.09,127.09,PayPal,Season Passholder,In-Person,False,
ORD89155,9401,2024-12-03,Plush,Lobster Plush,4,79.24,316.97,PayPal,Season Passholder,In-Person,False,
ORD77699,3855,2025-01-05,Accessories,Keychain,2,70.65,141.29,PayPal,Gift Purchaser,In-Person,False,
ORD91013,5230,2024-11-26,Plush,Lobster Plush,3,109.78,329.34,Credit Card,Season Passholder,Online,False,
ORD37355,3978,2025-01-09,Accessories,Snow Globe,3,39.08,117.24,Credit Card,Gift Purchaser,Online,False,
ORD46377,6171,2024-11-15,Plush,Seal Plush,7,56.11,392.76,Credit Card,One-Time Buyer,Online,True,
ORD62201,3262,2024-12-22,Accessories,Pin Set,7,53.82,376.75,Gift Card,One-Time Buyer,Online,False,
ORD64458,3858,2024-11-02,Plush,Lobster Plush,9,231.45,2083.03,Credit Card,One-Time Buyer,Online,False,
ORD75862,5137,2024-12-09,Home Décor,Park Poster,2,105.77,211.53,Credit Card,Season Passholder,In-Person,False,
ORD96077,7887,2024-11-07,Accessories,Keychain,7,104.0,728.01,PayPal,Season Passholder,Online,False,
ORD43856,5693,2024-11-21,Accessories,Keychain,4,42.08,168.33,Gift Card,One-Time Buyer,Online,False,
ORD55505,7430,2024-11-24,Plush,Crab Plush,5,81.23,406.13,PayPal,One-Time Buyer,In-Person,False,
ORD69149,5781,2024-11-18,Toys,Park Puzzle,1,123.26,123.26,PayPal,Season Passholder,Online,False,
ORD19707,5882,2024-12-03,Home Décor,Lobster Mug,8,40.56,324.48,Gift Card,One-Time Buyer,Online,True,BLACKFRIDAY
ORD28121,2672,2024-12-27,Accessories,Keychain,2,83.09,166.19,Gift Card,One-Time Buyer,In-Person,False,
ORD31224,5690,2024-12-09,Plush,Lobster Plush,4,49.34,197.36,PayPal,Season Passholder,In-Person,False,
ORD94598,7422,2024-12-09,Home Décor,Limited Edition Ornament,5,65.46,327.3,Gift Card,One-Time Buyer,Online,False,
ORD48713,4389,2025-01-07,Home Décor,Lobster Mug,4,11.47,45.87,Credit Card,Season Passholder,In-Person,True,
ORD37324,4995,2024-12-20,Toys,Park Puzzle,7,128.02,896.12,Gift Card,Season Passholder,Online,False,
ORD21818,7718,2024-12-05,Apparel,Winter Beanie,7,31.18,218.28,PayPal,One-Time Buyer,In-Person,True,NEWYEAR25
ORD11485,4862,2024-12-17,Plush,Seal Plush,2,80.82,161.64,PayPal,One-Time Buyer,In-Person,False,
ORD17788,5800,2024-11-12,Gift Cards,$100 Gift Card,10,64.56,645.65,Gift Card,Season Passholder,In-Person,False,
ORD64030,2948,2025-01-04,Plush,Crab Plush,3,69.89,209.68,PayPal,Season Passholder,In-Person,False,
ORD29807,9367,2024-11-16,Gift Cards,$50 Gift Card,7,44.3,310.08,Credit Card,Season Passholder,Online,False,
ORD30420,4133,2024-11-02,Toys,Toy Boat,2,173.0,346.0,Gift Card,Gift Purchaser,Online,False,
ORD39779,4945,2024-12-25,Accessories,Pin Set,4,34.91,139.65,PayPal,One-Time Buyer,Online,False,
ORD83625,3296,2024-12-19,Apparel,Lobster T-Shirt,2,78.55,157.1,Gift Card,One-Time Buyer,Online,False,
ORD63780,9541,2025-01-06,Gift Cards,$50 Gift Card,0,20.96,0.0,Credit Card,Season Passholder,Online,True,BLACKFRIDAY
